Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,5,11,11,24,4,19,7,12,28,17,16,14,9,4,17,9,7,14,0,20,21,6,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,3,5,18,11,17,3,8,9,9,3,0,21,8,0,6,7,6,7,7,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,7,1,1,1,0,7,1,1,1,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,12,6,11,24,4,18,5,12,27,6,27,22,12,13,10,14,14,7,0,22,8,21,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2,2,9,8,3,8,9,1,10,3,11,8,0,14,0,0,21,0,7,6,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,11,4,25,10,17,5,13,13,18,24,11,12,16,10,11,17,2,8,20,14,7,21,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2,3,10,7,8,2,9,2,16,1,10,2,1,8,13,0,7,0,0,14,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,3,12,6,18,24,9,11,5,11,8,16,17,3,4,11,9,7,22,0,7,14,6,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,5,11,4,26,11,13,4,25,18,12,19,10,20,19,18,8,14,7,22,14,7,14,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,5,5,18,24,2,2,3,18,4,2,21,11,3,17,0,13,0,14,13,15,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,12,5,17,17,10,4,4,26,5,16,24,11,6,10,23,6,19,7,13,8,14,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,3,4,11,16,8,1,1,2,10,3,8,6,6,7,0,8,7,15,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,4,16,4,10,12,16,16,3,18,5,4,31,2,8,15,1,14,8,13,0,0,14,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,11,6,11,23,11,11,6,13,27,6,33,19,12,19,12,9,21,13,0,16,27,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,4,4,23,9,4,11,2,7,15,2,2,17,1,14,7,0,8,0,7,8,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,11,4,18,10,14,6,19,25,19,4,12,11,10,18,19,2,7,14,14,7,14,12,0,0,0,0,0,0,0,0
